timestamp,temp_c,relative_humidity_2m,surface_pressure,cloud_pct,wind_speed,wind_speed_100m,wind_gust,direct_normal_irradiance,diffuse_radiation,shortwave_radiation_instant,hour_of_day,day_of_year,day_of_week,is_lab_hour,is_hostel_peak,solar_kw,wind_kw,demand_kw
2024-01-01 00:00:00+05:30,14.4,48,990.8,0,15.1,27.3,25.6,0.0,0.0,0.0,0,1,0,0,0,0.0,50.0,70.0
2024-01-01 01:00:00+05:30,13.7,52,990.8,0,15.1,27.0,24.5,0.0,0.0,0.0,1,1,0,0,0,0.0,50.0,70.0
2024-01-01 02:00:00+05:30,13.0,57,990.4,0,15.4,27.5,25.2,0.0,0.0,0.0,2,1,0,0,0,0.0,50.0,70.0
2024-01-01 03:00:00+05:30,12.4,61,990.3,0,16.0,27.6,26.3,0.0,0.0,0.0,3,1,0,0,0,0.0,50.0,70.0
2024-01-01 04:00:00+05:30,11.9,66,990.2,0,15.8,27.1,26.3,0.0,0.0,0.0,4,1,0,0,0,0.0,50.0,70.0
2024-01-01 05:00:00+05:30,11.4,71,990.4,0,15.5,26.8,25.9,0.0,0.0,0.0,5,1,0,0,0,0.0,50.0,70.0
2024-01-01 06:00:00+05:30,11.0,75,991.3,0,14.9,26.0,25.2,0.0,0.0,0.0,6,1,0,0,0,0.0,50.0,70.0
2024-01-01 07:00:00+05:30,10.8,79,992.0,0,14.6,26.0,24.5,0.0,0.0,0.0,7,1,0,0,0,0.0,50.0,110.0
2024-01-01 08:00:00+05:30,11.9,77,992.4,0,15.6,26.5,24.5,176.8,35.0,111.3,8,1,0,0,0,21.47,50.0,110.0
2024-01-01 09:00:00+05:30,14.4,71,993.3,0,13.2,22.8,25.6,446.3,89.0,285.1,9,1,0,1,0,74.26,50.0,190.0
2024-01-01 10:00:00+05:30,17.3,63,993.5,0,12.2,16.3,26.3,611.2,119.0,454.7,10,1,0,1,0,121.54,50.0,190.0
2024-01-01 11:00:00+05:30,20.1,56,992.9,0,12.0,15.1,26.3,700.4,135.0,574.1,11,1,0,1,0,154.24,50.0,190.0
2024-01-01 12:00:00+05:30,21.9,47,991.7,0,12.5,15.3,27.4,742.8,143.0,630.1,12,1,0,1,0,171.84,50.0,190.0
2024-01-01 13:00:00+05:30,23.1,38,990.4,0,13.1,16.1,28.1,754.0,143.0,617.8,13,1,0,1,0,174.49,50.0,154.0
2024-01-01 14:00:00+05:30,23.6,34,989.7,0,13.1,16.4,28.4,731.1,137.0,537.9,14,1,0,1,0,161.96,50.0,190.0
2024-01-01 15:00:00+05:30,23.7,33,989.3,0,13.2,16.5,27.7,669.0,123.0,400.5,15,1,0,1,0,134.42,50.0,190.0
2024-01-01 16:00:00+05:30,23.2,32,989.1,0,13.5,17.4,26.6,542.5,99.0,224.3,16,1,0,1,0,92.41,50.0,190.0
2024-01-01 17:00:00+05:30,21.5,36,989.1,0,9.8,18.7,24.8,312.9,58.0,50.7,17,1,0,1,0,40.83,50.0,190.0
2024-01-01 18:00:00+05:30,18.2,48,990.2,0,10.5,22.2,16.2,16.4,5.0,0.0,18,1,0,0,1,0.0,50.0,165.0
2024-01-01 19:00:00+05:30,17.4,50,990.9,0,13.7,27.2,22.3,0.0,0.0,0.0,19,1,0,0,1,0.0,50.0,165.0
2024-01-01 20:00:00+05:30,16.4,54,991.3,0,14.7,28.3,24.1,0.0,0.0,0.0,20,1,0,0,1,0.0,50.0,165.0
2024-01-01 21:00:00+05:30,15.3,59,991.6,0,15.1,28.4,24.5,0.0,0.0,0.0,21,1,0,0,1,0.0,50.0,165.0
2024-01-01 22:00:00+05:30,14.3,63,991.7,0,16.1,29.5,25.9,0.0,0.0,0.0,22,1,0,0,1,0.0,50.0,165.0
2024-01-01 23:00:00+05:30,13.4,66,991.3,0,16.3,29.2,27.0,0.0,0.0,0.0,23,1,0,0,1,0.0,50.0,165.0
2024-01-02 00:00:00+05:30,12.5,70,991.0,0,15.0,27.6,26.6,0.0,0.0,0.0,0,2,1,0,0,0.0,50.0,70.0
2024-01-02 01:00:00+05:30,11.8,74,990.5,0,14.2,26.5,24.5,0.0,0.0,0.0,1,2,1,0,0,0.0,50.0,70.0
2024-01-02 02:00:00+05:30,11.2,77,990.1,0,14.1,25.5,23.4,0.0,0.0,0.0,2,2,1,0,0,0.0,50.0,70.0
2024-01-02 03:00:00+05:30,10.7,80,989.8,0,13.2,24.8,22.7,0.0,0.0,0.0,3,2,1,0,0,0.0,50.0,70.0
2024-01-02 04:00:00+05:30,10.2,83,989.9,0,12.5,23.6,21.6,0.0,0.0,0.0,4,2,1,0,0,0.0,50.0,70.0
2024-01-02 05:00:00+05:30,9.8,86,990.0,0,13.2,23.9,21.2,0.0,0.0,0.0,5,2,1,0,0,0.0,50.0,70.0
2024-01-02 06:00:00+05:30,9.6,87,990.3,0,13.2,24.1,22.0,0.0,0.0,0.0,6,2,1,0,0,0.0,50.0,70.0
2024-01-02 07:00:00+05:30,9.3,89,991.0,0,13.0,23.8,22.0,0.0,0.0,0.0,7,2,1,0,0,0.0,50.0,110.0
2024-01-02 08:00:00+05:30,10.5,83,991.6,0,13.8,23.7,22.3,185.4,34.0,111.8,8,2,1,0,0,21.92,50.0,110.0
2024-01-02 09:00:00+05:30,13.3,72,992.3,0,11.5,22.2,23.0,450.5,89.0,286.7,9,2,1,1,0,74.94,50.0,190.0
2024-01-02 10:00:00+05:30,16.5,64,992.4,0,10.9,14.7,24.1,615.8,118.0,456.0,10,2,1,1,0,122.29,50.0,190.0
2024-01-02 11:00:00+05:30,19.3,53,991.5,0,10.7,13.3,24.5,707.0,134.0,577.5,11,2,1,1,0,155.6,50.0,190.0
2024-01-02 12:00:00+05:30,21.2,42,990.4,0,10.7,13.3,25.2,751.3,142.0,635.5,12,2,1,1,0,173.65,50.0,190.0
2024-01-02 13:00:00+05:30,22.4,36,989.6,0,10.5,12.7,24.8,760.2,142.0,622.0,13,2,1,1,0,175.99,50.0,154.0
2024-01-02 14:00:00+05:30,23.1,33,988.9,0,11.1,13.9,24.8,735.6,136.0,541.0,14,2,1,1,0,163.03,50.0,190.0
2024-01-02 15:00:00+05:30,23.1,30,988.5,0,12.4,15.3,25.2,672.3,122.0,402.6,15,2,1,1,0,135.26,50.0,190.0
2024-01-02 16:00:00+05:30,22.5,31,988.4,0,13.0,17.2,25.2,547.3,99.0,227.1,16,2,1,1,0,93.48,50.0,190.0
2024-01-02 17:00:00+05:30,20.7,36,988.6,0,10.4,19.5,24.5,319.8,59.0,52.9,17,2,1,1,0,41.93,50.0,190.0
2024-01-02 18:00:00+05:30,17.2,54,989.1,0,10.8,22.3,16.9,16.1,6.0,0.0,18,2,1,0,1,0.0,50.0,165.0
2024-01-02 19:00:00+05:30,16.2,57,989.8,0,14.2,27.5,22.7,0.0,0.0,0.0,19,2,1,0,1,0.0,50.0,165.0
2024-01-02 20:00:00+05:30,15.1,60,990.1,0,15.0,28.4,24.5,0.0,0.0,0.0,20,2,1,0,1,0.0,50.0,165.0
2024-01-02 21:00:00+05:30,14.1,64,990.4,0,14.1,27.1,24.1,0.0,0.0,0.0,21,2,1,0,1,0.0,50.0,165.0
2024-01-02 22:00:00+05:30,13.2,69,990.4,0,13.5,26.0,23.0,0.0,0.0,0.0,22,2,1,0,1,0.0,50.0,165.0
2024-01-02 23:00:00+05:30,12.4,74,990.2,0,13.7,25.5,22.0,0.0,0.0,0.0,23,2,1,0,1,0.0,50.0,165.0
2024-01-03 00:00:00+05:30,11.8,78,989.9,0,14.0,26.0,22.7,0.0,0.0,0.0,0,3,2,0,0,0.0,50.0,70.0
2024-01-03 01:00:00+05:30,11.2,82,989.6,0,13.6,25.3,22.7,0.0,0.0,0.0,1,3,2,0,0,0.0,50.0,70.0
2024-01-03 02:00:00+05:30,10.8,85,989.4,0,12.8,23.4,22.0,0.0,0.0,0.0,2,3,2,0,0,0.0,50.0,70.0
2024-01-03 03:00:00+05:30,10.4,88,989.1,0,12.8,22.7,20.5,0.0,0.0,0.0,3,3,2,0,0,0.0,50.0,70.0
2024-01-03 04:00:00+05:30,9.9,89,988.9,0,12.5,22.5,20.5,0.0,0.0,0.0,4,3,2,0,0,0.0,50.0,70.0
2024-01-03 05:00:00+05:30,9.5,90,988.9,0,12.6,22.4,20.5,0.0,0.0,0.0,5,3,2,0,0,0.0,50.0,70.0
2024-01-03 06:00:00+05:30,9.1,92,989.7,0,13.3,24.6,22.0,0.0,0.0,0.0,6,3,2,0,0,0.0,50.0,70.0
2024-01-03 07:00:00+05:30,8.9,93,990.5,0,12.8,24.4,21.6,0.0,0.0,0.0,7,3,2,0,0,0.0,50.0,110.0
2024-01-03 08:00:00+05:30,10.1,86,991.4,0,13.8,23.5,22.0,185.9,34.0,112.3,8,3,2,0,0,21.92,50.0,110.0
2024-01-03 09:00:00+05:30,12.8,75,992.3,0,11.5,22.6,22.7,458.0,89.0,289.5,9,3,2,1,0,75.85,50.0,190.0
2024-01-03 10:00:00+05:30,15.8,66,992.8,0,12.0,16.2,24.8,631.3,116.0,461.9,10,3,2,1,0,124.41,50.0,190.0
2024-01-03 11:00:00+05:30,18.3,60,992.0,0,13.2,16.7,28.1,711.7,135.0,582.0,11,3,2,1,0,157.16,50.0,190.0
2024-01-03 12:00:00+05:30,19.9,50,991.1,0,12.6,15.8,28.1,753.4,143.0,638.7,12,3,2,1,0,175.17,50.0,190.0
2024-01-03 13:00:00+05:30,21.0,42,989.8,0,12.7,15.8,27.7,761.7,143.0,625.1,13,3,2,1,0,177.58,50.0,154.0
2024-01-03 14:00:00+05:30,21.6,38,989.1,0,13.7,17.1,28.4,738.5,136.0,544.1,14,3,2,1,0,164.7,50.0,190.0
2024-01-03 15:00:00+05:30,21.7,36,988.7,0,14.6,18.4,28.4,675.4,123.0,406.4,15,3,2,1,0,136.91,50.0,190.0
2024-01-03 16:00:00+05:30,21.2,34,988.6,0,15.2,19.8,28.4,549.3,101.0,230.7,16,3,2,1,0,94.83,50.0,190.0
2024-01-03 17:00:00+05:30,19.6,38,988.8,0,11.4,21.2,27.4,326.4,60.0,55.1,17,3,2,1,0,43.05,50.0,190.0
2024-01-03 18:00:00+05:30,16.0,55,989.3,0,10.0,22.0,19.1,15.8,6.0,0.0,18,3,2,0,1,0.0,50.0,165.0
2024-01-03 19:00:00+05:30,14.9,61,989.7,0,11.0,23.2,17.6,0.0,0.0,0.0,19,3,2,0,1,0.0,50.0,165.0
2024-01-03 20:00:00+05:30,13.9,66,990.2,0,13.1,25.9,20.5,0.0,0.0,0.0,20,3,2,0,1,0.0,50.0,165.0
2024-01-03 21:00:00+05:30,13.2,70,990.7,0,15.1,28.4,24.1,0.0,0.0,0.0,21,3,2,0,1,0.0,50.0,165.0
2024-01-03 22:00:00+05:30,12.5,73,991.0,0,15.0,28.8,24.5,0.0,0.0,0.0,22,3,2,0,1,0.0,50.0,165.0
2024-01-03 23:00:00+05:30,11.9,75,990.9,0,15.2,29.0,24.8,0.0,0.0,0.0,23,3,2,0,1,0.0,50.0,165.0
2024-01-04 00:00:00+05:30,11.1,78,990.5,0,14.1,27.0,24.8,0.0,0.0,0.0,0,4,3,0,0,0.0,50.0,70.0
2024-01-04 01:00:00+05:30,10.4,81,990.3,0,12.7,25.0,23.0,0.0,0.0,0.0,1,4,3,0,0,0.0,50.0,70.0
2024-01-04 02:00:00+05:30,9.7,83,990.3,0,12.0,23.1,20.5,0.0,0.0,0.0,2,4,3,0,0,0.0,50.0,70.0
2024-01-04 03:00:00+05:30,9.1,86,990.1,0,12.0,22.3,19.4,0.0,0.0,0.0,3,4,3,0,0,0.0,50.0,70.0
2024-01-04 04:00:00+05:30,8.6,88,990.0,0,12.0,22.1,19.4,0.0,0.0,0.0,4,4,3,0,0,0.0,50.0,70.0
2024-01-04 05:00:00+05:30,8.1,91,990.2,0,12.0,21.7,19.4,0.0,0.0,0.0,5,4,3,0,0,0.0,50.0,70.0
2024-01-04 06:00:00+05:30,8.3,91,991.4,0,12.6,22.3,20.2,0.0,0.0,0.0,6,4,3,0,0,0.0,50.0,70.0
2024-01-04 07:00:00+05:30,8.0,92,992.1,0,13.6,23.0,21.6,0.0,0.0,0.0,7,4,3,0,0,0.0,50.0,110.0
2024-01-04 08:00:00+05:30,9.1,86,993.0,0,15.3,24.7,23.8,186.3,34.0,112.8,8,4,3,0,0,21.96,50.0,110.0
2024-01-04 09:00:00+05:30,11.6,74,993.8,0,12.8,24.5,25.2,458.6,89.0,289.8,9,4,3,1,0,76.14,50.0,190.0
2024-01-04 10:00:00+05:30,14.7,64,994.3,0,12.5,16.8,25.9,624.6,118.0,461.0,10,4,3,1,0,124.27,50.0,190.0
2024-01-04 11:00:00+05:30,17.3,56,993.2,0,12.7,15.8,27.0,711.1,135.0,582.2,11,4,3,1,0,157.67,50.0,190.0
2024-01-04 12:00:00+05:30,19.2,44,991.9,0,13.2,16.6,28.4,753.8,143.0,640.0,12,4,3,1,0,175.8,50.0,190.0
2024-01-04 13:00:00+05:30,20.4,37,990.7,0,13.0,16.6,28.8,763.1,144.0,628.3,13,4,3,1,0,178.56,50.0,154.0
2024-01-04 14:00:00+05:30,21.1,33,989.8,0,12.5,15.8,28.4,741.2,137.0,548.1,14,4,3,1,0,165.85,50.0,190.0
2024-01-04 15:00:00+05:30,21.2,33,989.3,0,12.3,15.3,27.0,678.4,123.0,409.4,15,4,3,1,0,137.86,50.0,190.0
2024-01-04 16:00:00+05:30,20.8,32,989.0,0,12.5,16.3,25.2,553.9,100.0,232.7,16,4,3,1,0,95.58,50.0,190.0
2024-01-04 17:00:00+05:30,19.0,37,989.1,0,8.5,17.3,23.0,327.3,60.0,56.5,17,4,3,1,0,43.38,50.0,190.0
2024-01-04 18:00:00+05:30,16.0,50,989.7,0,11.0,23.4,17.6,15.5,7.0,0.0,18,4,3,0,1,0.0,50.0,165.0
2024-01-04 19:00:00+05:30,15.0,53,990.1,0,12.6,25.9,20.2,0.0,0.0,0.0,19,4,3,0,1,0.0,50.0,165.0
2024-01-04 20:00:00+05:30,13.9,57,990.7,0,13.4,26.9,21.2,0.0,0.0,0.0,20,4,3,0,1,0.0,50.0,165.0
2024-01-04 21:00:00+05:30,12.9,60,991.2,0,13.3,27.4,22.0,0.0,0.0,0.0,21,4,3,0,1,0.0,50.0,165.0
2024-01-04 22:00:00+05:30,12.2,63,991.3,0,13.0,26.5,22.0,0.0,0.0,0.0,22,4,3,0,1,0.0,50.0,165.0
2024-01-04 23:00:00+05:30,11.4,66,990.8,0,12.4,25.5,20.9,0.0,0.0,0.0,23,4,3,0,1,0.0,50.0,165.0
2024-01-05 00:00:00+05:30,10.6,69,990.5,0,12.0,24.3,19.8,0.0,0.0,0.0,0,5,4,0,0,0.0,50.0,70.0
2024-01-05 01:00:00+05:30,9.9,72,990.3,0,12.2,23.9,19.4,0.0,0.0,0.0,1,5,4,0,0,0.0,50.0,70.0
2024-01-05 02:00:00+05:30,9.3,73,990.1,0,12.5,23.8,20.2,0.0,0.0,0.0,2,5,4,0,0,0.0,50.0,70.0
2024-01-05 03:00:00+05:30,8.8,75,989.7,0,12.5,23.6,20.5,0.0,0.0,0.0,3,5,4,0,0,0.0,50.0,70.0
2024-01-05 04:00:00+05:30,8.3,79,989.3,0,11.7,22.2,20.2,0.0,0.0,0.0,4,5,4,0,0,0.0,50.0,70.0
2024-01-05 05:00:00+05:30,7.8,83,989.5,0,11.0,20.8,19.1,0.0,0.0,0.0,5,5,4,0,0,0.0,50.0,70.0
2024-01-05 06:00:00+05:30,7.7,85,990.9,0,10.4,20.6,18.7,0.0,0.0,0.0,6,5,4,0,0,0.0,50.0,70.0
2024-01-05 07:00:00+05:30,7.3,89,991.4,0,10.6,19.7,16.9,0.0,0.0,0.0,7,5,4,0,0,0.0,50.0,110.0
2024-01-05 08:00:00+05:30,8.7,83,992.0,0,13.0,20.0,21.2,186.7,33.0,111.3,8,5,4,0,0,21.73,50.0,110.0
